Name,Party,Constituency,Date of Birth,Education,State,Term,Body
Emeka Ben Obi,NRC,Isuikwato,05/03/1948,Bachelors degree in Mechanical Engineering,Abia,1992 - 1993,house
Ben Yadiri C. Okike,NRC,Ohaozara,,,Abia,1992 - 1993,house
Okorie U. Agu,NRC,Afikpo South,,,Abia,1992 - 1993,house
Macaulay I. Obia,NRC,Obioma-Ngwa,,,Abia,1992 - 1993,house
Orji Uzor Kalu,,Bende,21/04/1960,University of Maiduguri,Abia,1992 - 1993,house
Abubakar U. AL-Uma,NRC,Yola,21/10/1957,B.A in Islamic Studies & Sociology,Adamawa,1992 - 1993,house
Musa Bubakari Kamale,NRC,Michika,"April, 1955",B. Sc in Econs & M.B.A,Adamawa,1992 - 1993,house
Michael U. Angilda,NRC,Madagali,03/03/1963,M.Sc (Architecture),Adamawa,1992 - 1993,house
Adiel Edmund Olse,NRC,Numan,22/10/1964,"Attended Fed Govt. College, Ogbomosho",Adamawa,1992 - 1993,house
Ahmed Hassan Barata,NRC,Shelleng,13/02/1963,"Teacher's College, Shuwa",Adamawa,1992 - 1993,house
Godfrey Ayuba Yoila,SDP,Demsa,28/11/1959,Diploma in Journalism/ Mass Communication,Adamawa,1992 - 1993,house
Abdulrahman A. Bobbu,NRC,Gombi,"July, 1960",L.LB,Adamawa,1992 - 1993,house
Munun G. Mapundi,NRC,Jada,15/05/1953,Diploma in Tourism,Adamawa,1992 - 1993,house
Musa Janro,NRC,Mubi,20/03/1950,"HND in Agriculture, & Advanced Diploma",Adamawa,1992 - 1993,house
Aliyu Audu Mustapha,NRC,Macha,1957,Post Graduate Certificate in Theatre Management,Adamawa,1992 - 1993,house
Nashon Gubi Nabi,NRC,Mayo Belwa,1948,Grade II Certificate from Numan,Adamawa,1992 - 1993,house
Abdulmumini Umar,NRC,Ganye,24/06/1965,LLB,Adamawa,1992 - 1993,house
Ethan Yusuf,SDP,Hong,31/12/1947,Diploma in Community Health,Adamawa,1992 - 1993,house
Ethan L. Dangtibiya,NRC,Song,1950,N.C.E,Adamawa,1992 - 1993,house
Umaru Hamman Tukur,NRC,Fufore,17/03/1960,LL.B,Adamawa,1992 - 1993,house
Godwin Puldu,NRC,Guyuk,1946,Grade II Certificate,Adamawa,1992 - 1993,house
Agunwa Anaekwe,SDP,Anaocha,27/04/1956,Bachelor of law degree; & Barrister-at-law,Anambra,1992 - 1993,house
Ifeoma Olive Chinwuba,SDP,Awka South,09/11/1959,Studied Law,Anambra,1992 - 1993,house
Okechukwu D. Umeano,SDP,Oyi,17/10/1957,A graduate of Medicine,Anambra,1992 - 1993,house
Lawrence Arinze Abuah,SDP,Onitsha North,30/09/1957,A graduate of Obafemi Awolowo University,Anambra,1992 - 1993,house
Philip Obiora Agbasi,SDP,Nnewi South,19/10/1956,A graduate of Pol. Science,Anambra,1992 - 1993,house
Nwankwo Nnabuochi,SDP,Akwa North,15/04/1949,A graduate,Anambra,1992 - 1993,house
Ezeobi Okpala,SDP,Onitsha,05/05/1962,G.C.E. A'Level,Anambra,1992 - 1993,house
Ifeanyi Nwankwu,SDP,Njikoka,24/11/1954,Bachelor of law; & Barrister-at-law,Anambra,1992 - 1993,house
Francis Uchenna Okeke,SDP,Aguata federal,11/10/1957,Bachelor of law Degree; & Barrister-at-law,Anambra,1992 - 1993,house
Ike Nnadozie Ndujekwu,NRC,Orumba North,17/04/1962,"LL.B (Hons), B. A, LL.M",Anambra,1992 - 1993,house
Obi I. Anoliefo,SDP,Idemili,01/05/1942,A graduate of Business Administration,Anambra,1992 - 1993,house
Ifeanyi A. U. Auevoru,SDP,Anambra,28/10/1951,A law graduate,Anambra,1992 - 1993,house
Mike Ikoku,SDP,Ihiala,,,Anambra,1992 - 1993,house
John Obiora Ikechukwu,NRC,Nnewi,,,Anambra,1992 - 1993,house
Celestine Obi Olisa,SDP,Ogbaru,,,Anambra,1992 - 1993,house
Isaiah Obi,SDP,Orumba South,,,Anambra,1992 - 1993,house
Ekong Mex Umoh,NRC,Mkpat Enin,07/07/1942,Diploma in Salesmanship,Akwa Ibom,1992 - 1993,house
Nsikan Joseph Nyong,NRC,Uyo,26/03/1964,Secondary School,Akwa Ibom,1992 - 1993,house
Uwem U. Uko,NRC,Etinan,August 1937,Diploma in Pub. Admin,Akwa Ibom,1992 - 1993,house
Inana D. Akpan,NRC,Ukanafun,22/09/1938,Diploma from Institute of Transport.,Akwa Ibom,1992 - 1993,house
Etim Etido Atakpa,NRC,Essien Udim,03/07/1956,A graduate of Mngt. Studies,Akwa Ibom,1992 - 1993,house
Okon Ita Essang,NRC,Mbo,03/08/1934,Diploma in Forestry,Akwa Ibom,1992 - 1993,house
Etim Edet Esin,NRC,Oron,06/08/1952,Sch.Cert,Akwa Ibom,1992 - 1993,house
Aloysius Akpan Etok,NRC,Ikono,15/02/1958,A Graduate of Banking & Finance,Akwa Ibom,1992 - 1993,house
Tony Mike Akpan,SDP,Uruan,14/06/1965,A Law graduate with LL.B,Akwa Ibom,1992 - 1993,house
Obong B. B. Udoewah,NRC,Nsit-Ubium,02/12/1947,"A Graduate of PFALZ, Majored in Textile Tech.",Akwa Ibom,1992 - 1993,house
Udom Sunday J.,SDP,Oruk-Anam,16/04/1950,B.Sc Estate Mgt. & M.Sc (Bus. Admin.),Akwa Ibom,1992 - 1993,house
Dan Nkereuwem Okon,SDP,Abak,11/03/1964,Business School Certificate,Akwa Ibom,1992 - 1993,house
Udo Marcus Akpan,NRC,Ikot Abasi,12/10/1946,MBA in Banking & Finance,Akwa Ibom,1992 - 1993,house
Etukudo Jack Etukudo,SDP,Onna,22/12/1936,A graduate of Business Management,Akwa Ibom,1992 - 1993,house
Solomon F. Abasiekong,SDP,Ini,03/11/1955,Ph.D in Agriculture,Akwa Ibom,1992 - 1993,house
Michael Lazarus Uwa,NRC,Etim Ekpo,15/03/1958,Bachelor-at-law degree,Akwa Ibom,1992 - 1993,house
Christine Akpan,NRC,Itu,31/12/1960,Bachelor of law & Barrister-at-law degree,Akwa Ibom,1992 - 1993,house
David Nyong,NRC,Ikot Ekpene,15/03/1959,a Graduate of Philosophy,Akwa Ibom,1992 - 1993,house
Joseph S. Bassey,SDP,Okobo,08/02/1953,B.Sc in Metallurgical Engineering,Akwa Ibom,1992 - 1993,house
Gabriel Johnson Etuk,NRC,Nsit Ibom,05/09/1957,Bachelor of Law degree & Barrister-at-law degree,Akwa Ibom,1992 - 1993,house
Victor A. Okposin,SDP,Eket,28/02/1960,A graduate of College of Medicine,Akwa Ibom,1992 - 1993,house
Okon Bassey Etienam,,Urue-Ofong/Oruko,,,Akwa Ibom,1992 - 1993,house
Joseph Jimmy Ita,NRC,Uqwa-Ibeno,,,Akwa Ibom,1992 - 1993,house
Ubong O. Mbatt,NRC,Ekpe Afai,,,Akwa Ibom,1992 - 1993,house
Ahmed Bappa Nafada,NRC,Nafada,1952,Diploma in law,Bauchi,1992 - 1993,house
Musa Jubrin Walai,NRC,Itas/Gadau,1956,Grade II Teacher's Certificate,Bauchi,1992 - 1993,house
Mamman Magaji,NRC,Katagum,1950,Diploma in law,Bauchi,1992 - 1993,house
Abdulkadir I. Gwamna,NRC,Gombe,17/01/1959,Attended Ganya Sec. Sch.,Bauchi,1992 - 1993,house
Labaran Muh'd Inuwa,NRC,Darazo,,"B. A (Hons) in Economics/History, Post Graduate Studies in Mktg",Bauchi,1992 - 1993,house
Mohammed A. Zabi,NRC,Shira,1950,H.N.D in Civil Technology,Bauchi,1992 - 1993,house
Yalwaji Moh'd Sakwa,NRC,Zaki,10/02/1952,H.N.D in Telecommunication Engineering,Bauchi,1992 - 1993,house
Babayo Adamu Udubo,NRC,Gamawa LGA,22/02/1957,B. A (Hons) in Education,Bauchi,1992 - 1993,house
Jack G. Gumpy,NRC,Balanga,1944,B.Sc in Education,Bauchi,1992 - 1993,house
Ibrahim Kadiri,SDP,Tafawa Balewa,06/04/1958,Masters degree in Physical Education,Bauchi,1992 - 1993,house
Isimila Mohammed,NRC,Dukku,1957,Secondary School Cert.,Bauchi,1992 - 1993,house
Umar Usman Lamido,NRC,Akko,1954,Bachelors degree in Business Administration,Bauchi,1992 - 1993,house
Gidado H. Muhammed,NRC,Jama'are,1960,B.Sc in Political Science,Bauchi,1992 - 1993,house
Idris Abdullahi Kufa,NRC,Alkaleri,1960,B.Sc in Accountancy,Bauchi,1992 - 1993,house
Wada Tawar Umbi,NRC,Billiri,1957,LL.B (Hons); & BL,Bauchi,1992 - 1993,house
Alhaji Salihu Adamu,NRC,Ningi,02/11/1944,Diploma in Accounts/ Audit,Bauchi,1992 - 1993,house
Adamu Lapidi Jalan,NRC,Misau,15/01/1954,Diploma in Personnel Mgt / Inds Relations,Bauchi,1992 - 1993,house
Isa Yakubu Toro,NRC,Toro,1949,Diploma in weights & Measures,Bauchi,1992 - 1993,house
Muhhammed A. Wandi,NRC,Dass,01/11/1943,P.G.D in Int'l Relations.,Bauchi,1992 - 1993,house
Yahaya Moh'd Imam,NRC,Ganjuwa,27/07/1963,"Govt. Sec. School, Hotels Training School.",Bauchi,1992 - 1993,house
Isa Musa Maton,NRC,Bauchi,,,Bauchi,1992 - 1993,house
Idris Abubakar,NRC,Kalyungo,,,Bauchi,1992 - 1993,house
Mohammad Kwadon,NRC,Yamaltu/Deba,,,Bauchi,1992 - 1993,house
Clement Tsetse Ayabuba,NRC,Gwer East,10/10/1952,Diploma in Cooperative Studies,Benue,1992 - 1993,house
Matthew I. Ojabo,SDP,Okpokwu,10/01/1948,B.Sc (Hons) in Management Science,Benue,1992 - 1993,house
Terhemba Shija,SDP,Vandai Kya,23/11/1960,M.A in Creative Writing,Benue,1992 - 1993,house
Ajene Ogiri,SDP,Oju,12/02/1957,"B.Sc Pol.Sc, M.Sc Int.Rels",Benue,1992 - 1993,house
Rebecca M. Apedzan,SDP,Makurdi,,Diploma in Nursing,Benue,1992 - 1993,house
Atighur Shaguy,SDP,Gboko,22/11/1951,,Benue,1992 - 1993,house
Atta S. Kwaghtse,SDP,Ower West,25/11/1955,B.A English/Education,Benue,1992 - 1993,house
Obochi Donatus Udama,SDP,Ogbadibo,20/03/1950,Masters Education Admin,Benue,1992 - 1993,house
Abiche Samule Adole,SDP,Apa,13/07/1954,"Master of Education, Ex. Physiology",Benue,1992 - 1993,house
Ada Mark,SDP,Otukpo,28/08/1966,"Bachelor of Arts Degree in Theatre Arts, an OND in Mass Comm.",Benue,1992 - 1993,house
Augustine Azer Igba,SDP,Konshisha,1949,B.Sc Agriculture,Benue,1992 - 1993,house
Terdoo Angagh,SDP,Katsina-Ala,14/12/1958,Master degree in Adult Education,Benue,1992 - 1993,house
John M. Awange,SDP,Guma,20/03/1952,Certificate Diploma,Benue,1992 - 1993,house
Orbunde Terwase,SDP,Kwande,19/07/1959,B.Sc Agriculture,Benue,1992 - 1993,house
Bernard A. Ochepa,SDP,Ado,17/01/1964,HND Estate Management,Benue,1992 - 1993,house
Upper I. Edward,SDP,Ukum,06/12/1946,Masters degree in Manufacturing,Benue,1992 - 1993,house
Jonathan Tarhule,SDP,Ushongo,18/11/1943,M.Ed,Benue,1992 - 1993,house
Gideon Adzer Abya,SDP,Bukuru,,,Benue,1992 - 1993,house
Ibrahim Musa Bwala,NRC,Hawul,1964,"Certificate in Commerce & Economics, G.C.E O/L Holder",Borno,1992 - 1993,house
Bukar Modu Titiwa,SDP,Megumeri,28/12/1952,Graduate,Borno,1992 - 1993,house
Tijani Moh'd Adam,SDP,Marte,Jan 1952,"Graduate, Diploma Community Health.",Borno,1992 - 1993,house
Ularam Medugu,SDP,Askira/Uba,1959,"NCE, Bachelor Degree in Education",Borno,1992 - 1993,house
Umar Mustapha,NRC,Bama,26/04/1957,HND in Global Procurement of Goods & Services,Borno,1992 - 1993,house
Usman M. Mafa,SDP,Mafa,05/03/1959,Graduate,Borno,1992 - 1993,house
Samson Dibal Wandali,SDP,Kwayakusar,08/01/1955,Diploma in Purchasing & Supply,Borno,1992 - 1993,house
Modu M. Dikwa,SDP,Dikwe,1960,National Diploma in Integrated Rural Dev.,Borno,1992 - 1993,house
Mallum Sharang,SDP,Shani,15/05/1945,Associate Degree in Engineering Technology,Borno,1992 - 1993,house
Mohammed Bello,SDP,Damboa,1958,School Cert.,Borno,1992 - 1993,house
Baba Gana Modu,SDP,Nganzai,16/05/1967,A certificate in Accountancy,Borno,1992 - 1993,house
Umar Kassim Ibrahim,SDP,Biu,30/11/1958,B.Sc in Building Engr.,Borno,1992 - 1993,house
Rabi Allamin,SDP,Maiduguri,01/11/1963,B.A in English; & M.A in English,Borno,1992 - 1993,house
Moh'd Tahir Monguno,SDP,Monguno,05/07/1966,Bachelor of law; with Barrister-at-law,Borno,1992 - 1993,house
Maina Mastapha Baga,SDP,Kukawa,1960,NCE,Borno,1992 - 1993,house
Goni A. Ali,SDP,Mobbar,1961,Diploma in Law,Borno,1992 - 1993,house
M. Yakub Mohammed,NRC,Kaga,1952,Diploma in Prim. School Supervision/Admin.,Borno,1992 - 1993,house
Mohammed M. Tumala,SDP,Gwoza,13/04/1964,B.Sc in Statistics; Master of Science,Borno,1992 - 1993,house
Abba S. Gubio,SDP,Gubio,1962,Diploma in Adult Ed.,Borno,1992 - 1993,house
Dunoma Umara,NRC,Konduga,1953,Diploma in Business Studies,Borno,1992 - 1993,house
Kabir Lawan,SDP,Ngala,,,Borno,1992 - 1993,house
Daniel Oza Bassey,,Abi,09/05/1954,B.A in Pol. Science/History,Cross River,1992 - 1993,house
Ibeshi E. Awhan,SDP,Obudu,14/08/1961,B.A in Theater Arts,Cross River,1992 - 1993,house
Daniel B. Ekpenyong,NRC,Akpabuyo,25/11/1950,B.Sc in Chemistry & Education,Cross River,1992 - 1993,house
Tangban Ayuk Ojong,NRC,Ikom,21/03/1952,B.Sc in Pol. Science & Administrative Studies,Cross River,1992 - 1993,house
Ofem Ikpi Ofem,NRC,Yakurr,02/02/1964,"Bachelor of law degree, with barrister-at-law",Cross River,1992 - 1993,house
Moses Wonah Oko,NRC,Ogoja,02/12/1958,B.A in History/English,Cross River,1992 - 1993,house
Irek Eden Ernest,NRC,Obubra,12/07/1958,HND in Mass Communication,Cross River,1992 - 1993,house
Ekpo Ekpo Okon,NRC,Odukpani,31/05/1960,"HND Mass Com.; TV College, Jos",Cross River,1992 - 1993,house
Florence Ita-Giwa,NRC,Calabar,19/02/1946,Diploma in Gen. Nursing & Diploma in Medical Secretaryship,Cross River,1992 - 1993,house
Chris Eriba,SDP,Yala,10/01/1955,B.A Hons in History; Master of Arts,Cross River,1992 - 1993,house
Ajah Ekpeni Obia,SDP,Biass,06/10/1959,"B.Sc. in Architecture, M.Sc (Architecture)",Cross River,1992 - 1993,house
Augustine Ugar Ogogo,SDP,Obanliku,16/06/1955,"B.Sc., M.Sc (Forestry) / Wild Life",Cross River,1992 - 1993,house
Denis Enyam Nkiri,NRC,Akamkpa,29/06/1962,National Certificate of Education,Cross River,1992 - 1993,house
Oshita O. Oshita,NRC,Boki,14/06/1962,B.A in Philosophy,Cross River,1992 - 1993,house
Okpohworhu A. Alfred,SDP,Ughelli North,16/10/1957,LL.B; Master of Law degree,Delta,1992 - 1993,house
Kerry George I.,SDP,Ika North-East,09/11/1937,"MB, BS",Delta,1992 - 1993,house
Odhegolor A. Lucky,SDP,Isoko North,02/03/1953,B.Sc. in Biology,Delta,1992 - 1993,house
Christopher Chiedu A.,SDP,Aniocha South,13/04/1956,MBA Marketing; Diploma in Marketing.,Delta,1992 - 1993,house
Edijala John Vote,SDP,Ughelli South,21/06/1957,B.Sc. Electrical Engineering,Delta,1992 - 1993,house
Chukwuji G. Adigwe,SDP,Aniocha North,03/11/1941,Accountancy (Major),Delta,1992 - 1993,house
Edojah S. Odeyovwi,SDP,Ethiope East,03/03/1958,B.Sc. Business Admin.,Delta,1992 - 1993,house
Peter Y. Biakpara,SDP,Burutu,25/03/1947,Diploma in Aeronautical Engineering,Delta,1992 - 1993,house
Sam Osasa,NRC,Ndokwa West,07/12/1956,B.Sc. in Sociology; LL.B; BL,Delta,1992 - 1993,house
Uwadinisu Onyenokwe,SDP,Ndokwa East,28/12/1931,Bachelors degree in Education,Delta,1992 - 1993,house
Sunday Urunoghoresan,SDP,Warri South,24/04/1932,H.N.D in Accountancy,Delta,1992 - 1993,house
Emeye Augustine Kim,SDP,Ika South,15/08/1940,yy,Delta,1992 - 1993,house
Gbegbaje-Das One,NRC,Okpe,08/03/1940,B.Sc Agriculture,Delta,1992 - 1993,house
Godwin Ejoh,SDP,Ethiope West,12/12/1942,LL.B; B.A in Economics/Politics,Delta,1992 - 1993,house
Akangbou E. Joseph,SDP,Bomadi,15/11/1952,B.Sc. in Industrial & Pure Chemistry,Delta,1992 - 1993,house
Gordon M. Ogbedogor,SDP,Isoko South,28/02/1936,MBA in Business Admin.,Delta,1992 - 1993,house
Omiretsule Jemide,SDP,Warri North,,,Delta,1992 - 1993,house
Edesin Sylvanus Azigbo,SDP,Sapele,,,Delta,1992 - 1993,house
Mike A. Orieso,SDP,Esan South East,1948,B.A in History/Pol. Science,Edo,1992 - 1993,house
Onaiwu E. Giwa-Osagie,SDP,Ovia North East,16/04/1937,LL.B (Hons) & a B.L,Edo,1992 - 1993,house
Ogedegbe A. Otaniyen,SDP,Orhionmwon,01/01/1952,M.Sc Zoology,Edo,1992 - 1993,house
Aigbogun Ehizogie,NRC,Esan Central,08/03/1942,LL.B; B.L; M.A,Edo,1992 - 1993,house
Ogona Daniel Ehimare,SDP,Esan West,15/03/1939,F.C.A.,Edo,1992 - 1993,house
Aigbo K. H. Onagbon,SDP,Oria South West,01/01/1954,H.N.D in Civil Engineering,Edo,1992 - 1993,house
Davidson Oputteh,SDP,Etsako East LGA,15/12/1954,B.Sc in Pol. Science; M.P.A; an LL.B; B.L,Edo,1992 - 1993,house
Philip E. F. Edorhe,SDP,Owan East,07/09/1940,LL.B (Hons); BL in Law,Edo,1992 - 1993,house
Arc. Benedict E. A. Omiyi,SDP,Esan north East,29/04/1938,M. Sc. in Urban Dev. Planning,Edo,1992 - 1993,house
Anthony Iyen,SDP,Uhunmwode,16/01/1946,,Edo,1992 - 1993,house
Samuel Ayo Sada,SDP,Akoko-Edo,03/09/1939,H.N.D,Edo,1992 - 1993,house
Ezekiel O. Orhenvba,SDP,Owan West F.C.,21/09/1950,M.T.O.B,Edo,1992 - 1993,house
Abdul-Rahman Kadiri,SDP,Etsako West,12/02/1961,LL.B (Hons),Edo,1992 - 1993,house
Ambrose Osawe,SDP,Oredo,13/08/1946,M.A in Publishing,Edo,1992 - 1993,house
Nworie Amos,NRC,Ikwo,26/12/1963,Studied Micro Biology,Enugu,1992 - 1993,house
Ugwa Frank Uchenna,NRC,Isi-Uzo,21/07/1960,B.Sc. in Estate Mgmt; PGD in Education; Master of Pub. Admin,Enugu,1992 - 1993,house
Mgbada Felix Nwigwe,NRC,Ezza,25/11/1950,A graduate of zoology & Law,Enugu,1992 - 1993,house
Onyia Gideon T. Dubem,SDP,Enugu North,23/02/1952,A Fellow of Institute of Admin. Accountants,Enugu,1992 - 1993,house
Chuka Ezema,NRC,Igboeze South,12/06/1958,Post Graduate Qualification in Pest Control,Enugu,1992 - 1993,house
Charles O. Ayalogu,NRC,Udi,07/08/1962,B.Sc. In Political Science,Enugu,1992 - 1993,house
Adum Matthias J. N.,SDP,Abakaliki,17/10/1964,A graduate of Agriculture,Enugu,1992 - 1993,house
Jonas Onyeka Chukwu,NRC,Awgu,06/07/1964,A graduate of Chemical Engineering,Enugu,1992 - 1993,house
Okechukwu Arumona,NRC,Uzo-Uwani,22/02/1940,A graduate of Religion,Enugu,1992 - 1993,house
Ikechukwu Ugwu C.,NRC,Igbo-Eze North,07/05/1964,Read Biology,Enugu,1992 - 1993,house
Iyi Samuel I.,SDP,Ohaukwu,16/08/1956,NCE (English Major),Enugu,1992 - 1993,house
Anayo Edeh,NRC,Nkanu,07/05/1961,Business Admin. Graduate,Enugu,1992 - 1993,house
Cosmoas C. Eziechi,NRC,Ezeagu,01/02/1961,A Pol. Science Graduate,Enugu,1992 - 1993,house
Isha Aramigbo Anthony,SDP,Izzi,21/11/1952,Diploma in Marketing,Enugu,1992 - 1993,house
Nico Agbo,SDP,Enugu South,11/04/1962,Attended UNICAL & Nigerian Law School,Enugu,1992 - 1993,house
Madueke C. Obi,NRC,Oji River,25/07/1951,P.G.D in Computer System Analysis & Design,Enugu,1992 - 1993,house
Agbo G. Chukwuemeka,NRC,Nsukka,25/12/1943,B.L (Hons) in Law,Enugu,1992 - 1993,house
Chris Ptaka Nnadi,NRC,Igbo Etiti,,,Enugu,1992 - 1993,house
Ama Nwauwa,NRC,Oguta,02/05/1963,B.L,Imo,1992 - 1993,house
Bonny O. Uzoma,NRC,Nkwerre,15/06/1949,MCP,Imo,1992 - 1993,house
Ibe Okechukwu,NRC,Ideato North,01/01/1957,DVM; (MD) Angiology Specialist,Imo,1992 - 1993,house
Hilary A. Ihenachor,NRC,Orlu,29/11/1947,Doctorate Degree in Pol. Science,Imo,1992 - 1993,house
Ndubueze Patrick C.,NRC,Okigwe,24/02/1963,ND in Civil Engineering,Imo,1992 - 1993,house
Basil O. Okafor,NRC,Ihitte/Uboma,13/08/1958,LL.B,Imo,1992 - 1993,house
Akubuo A. U.,NRC,Isu,10/06/1952,Studied Medicine,Imo,1992 - 1993,house
Ignatius Onyejekwe,NRC,Orsu,04/10/1958,LL.B,Imo,1992 - 1993,house
Chris C. Asoluka,NRC,Owerri,01/05/1955,B.A Pol. Sci; M.Sc; LL.B; Masters degree in Shipping,Imo,1992 - 1993,house
Ononuju Ernest,NRC,Mbaitoli,22/11/1948,Medical Doctor,Imo,1992 - 1993,house
Livinus M. Okereafor,NRC,Ngor Okpala,25/12/1938,B.A degree (English/History),Imo,1992 - 1993,house
Ndugbu Columba,NRC,Ahiazu,07/04/1934,B.Sc. (Econs); A.C.S & ICAN III,Imo,1992 - 1993,house
Unaogu A. Lazarus,NRC,Ikedura,27/02/1956,B.Sc. (Physics); Ph.D (Physics),Imo,1992 - 1993,house
Iwuchukwu Ambrose,NRC,Ideato-South,22/11/1952,MB.BS,Imo,1992 - 1993,house
Amanfo C. Virginus,NRC,Oru,22/11/1949,Doctorate degree in Banking & Economics,Imo,1992 - 1993,house
Elias Osuagwu,NRC,Ehime Mbano,03/11/1946,HND in Accountancy & Business Administration,Imo,1992 - 1993,house
Amadi Chidi Paschal,SDP,Aboh Mbaise,25/04/1960,HND in Building Tech.,Imo,1992 - 1993,house
Okazie Jude Chimah,SDP,Ezinihitte,12/12/1942,A graduate (Animal Husbandry),Imo,1992 - 1993,house
Festus N. Edomobi,NRC,Obowu,01/01/1942,Graduated in Estate Mgt,Imo,1992 - 1993,house
Ekeordu Peter Lucky,SDP,Ohaji/Egbema,21/02/1950,NCE,Imo,1992 - 1993,house
Mishael O. Mbaike,NRC,Isiala Mbano,23/03/1943,Law degree,Imo,1992 - 1993,house
Lili Garbari,SDP,Jahun,1933,,Jigawa,1992 - 1993,house
Ya'u Yakubu Kanya,SDP,Birniwa,30/09/1958,ND in Accountancy,Jigawa,1992 - 1993,house
Sani Mahmoud,NRC,Babura,1949,NCE; Advanced Diploma in Public Administration,Jigawa,1992 - 1993,house
Adamu Abdullahi,NRC,Hadejia,1950,N.C.E; B.A in Library Science,Jigawa,1992 - 1993,house
Yanusa M. Baskuwa,NRC,Kafin Hausa,1955,Grade II Teacher's Certificate,Jigawa,1992 - 1993,house
Awaisu Hudu Sakwaya,SDP,Dutse,20/02/1961,"Attended Govt. Science Sec. Schl, Azaize",Jigawa,1992 - 1993,house
Mohammed Garki,SDP,Garki,22/04/1951,HND in Sec. Studies,Jigawa,1992 - 1993,house
Shehu Adamu Kasaure,SDP,Kazaure,1942,Diploma in Civil Eng.,Jigawa,1992 - 1993,house
Nasiru Mohammed,SDP,Gumel,1960,NC in Education,Jigawa,1992 - 1993,house
Mohammed I. Gabarin,SDP,Ringim,1960,Secondary School Ed.,Jigawa,1992 - 1993,house
Ahmed Aliyu Maje,SDP,Taura,,N.C.E & B.Sc. in Ed./Biology,Jigawa,1992 - 1993,house
Sirajo C. Farindutse,SDP,Gwaram,19/03/1957,HND in Animal Health & Husbandry,Jigawa,1992 - 1993,house
Abubakar I. Korayal,SDP,Gwiwa,12/01/1944,Sec. Edu.; Teachers College,Jigawa,1992 - 1993,house
Bashari Abdullahi,SDP,Sule Tan-Karkar,1966,Bachelors degree in Agriculture,Jigawa,1992 - 1993,house
Usman M. Kiri-Kasamma,,Kirikasamma,12/12/1949,N.C.E; B.A in Education,Jigawa,1992 - 1993,house
Garba Iliyasu Damai,SDP,Birnin Kudu,10/08/1952,N.C.E,Jigawa,1992 - 1993,house
Ma'aruf M. Roni,SDP,Roni,01/10/1961,N.C.E in Economics,Jigawa,1992 - 1993,house
Aminu Umaru Sidi,,Kaugama,02/04/1957,Bachelors degree in Political Science,Jigawa,1992 - 1993,house
Ahmed Ahmed Safio,SDP,Maigatari,10/05/1960,Diploma in Business Administration,Jigawa,1992 - 1993,house
Sule Daini Aliyu,SDP,Kiyawa,,,Jigawa,1992 - 1993,house
Ahmed Abdullahi,SDP,Mull Mudori,,,Jigawa,1992 - 1993,house
Suleiman Tanimu,NRC,Lere,15/04/1956,Certificate & Diploma in Computer & Accountancy,Kaduna,1992 - 1993,house
Chanchok Caleb Audu,SDP,Zangon Kataf,27/03/1957,B.A History,Kaduna,1992 - 1993,house
Zakariya J. Shamaki,SDP,Kauru,26/11/1956,Bachelors degree in History,Kaduna,1992 - 1993,house
Boniface I. Garba,SDP,Jema's,02/03/1962,Secondary School,Kaduna,1992 - 1993,house
Mark Jacob Gadani,SDP,Chikun,13/02/1964,NCE in English/History,Kaduna,1992 - 1993,house
Joseph Citta,SDP,Kachia,1962,A Graduate of Law,Kaduna,1992 - 1993,house
Zuwahu V. B. Ninyio,SDP,Kaduna South,20/03/1960,B.Sc. In Internl. Studies,Kaduna,1992 - 1993,house
Jonathan Jatau Labi,SDP,Kaura,12/05/1949,Higher Diploma in Advertising & Mktg,Kaduna,1992 - 1993,house
Salihu Musa Auchan,SDP,Ikara,03/05/1957,Bachelors degree in History & Arabic Studies,Kaduna,1992 - 1993,house
Magaji T. Yakawada,SDP,Giwa,13/11/1959,Masters degree in African Language,Kaduna,1992 - 1993,house
Bashiru I. Sakadabi,SDP,Sabon Gari,13/07/1966,School Certificate,Kaduna,1992 - 1993,house
Dalhatu M. Gimba,NRC,Soba,,,Kaduna,1992 - 1993,house
Ibrahim Mohammed,NRC,Birnin Gwari,1954,Diploma in Community Health,Kaduna,1992 - 1993,house
Adamu Kuri Gwari,NRC,Jaba,01/10/1951,Diploma in Bus. Studies & Public Accounting,Kaduna,1992 - 1993,house
Habibu Sani,NRC,Igiabi,15/06/1965,Bachelor degree in History,Kaduna,1992 - 1993,house
Muhammadu Hussaini,NRC,Igiabi Federal,,,Kaduna,1992 - 1993,house
Abdulkadir S. Usman,NRC,Zaria,,,Kaduna,1992 - 1993,house
Edward Gamba,SDP,Doka/Kawo,,,Kaduna,1992 - 1993,house
Sani Bala Dausara,SDP,Yadakuwya,15/02/1958,Secondary School Cert,Kano,1992 - 1993,house
Muhammed Abubakar,SDP,Tofa,05/06/1964,B.Sc Electrical,Kano,1992 - 1993,house
Murtala Musa Bagwai,NRC,Bagwai,1955,Grade II Teacher's Certificate,Kano,1992 - 1993,house
Abdul-Aziz Adamu Gano,NRC,Dawakin-Kudu,1955,Grade II Certificate,Kano,1992 - 1993,house
